timestamp_unix,O1,O2,T3,T4
1762668925.006099,-39467.658848,-44511.456043,-46515.319496,-69890.663028
1762668925.010099,-39526.406676,-44573.634863,-46537.823975,-69910.496473
1762668925.036470,-39519.157261,-44559.903443,-46532.865614,-69900.579751
1762668925.040470,-39447.441697,-44489.331543,-46512.268484,-69879.598916
1762668925.042060,-39430.655539,-44471.021742,-46504.255384,-69878.838956
1762668925.046060,-39472.617209,-44514.507055,-46520.657837,-69893.710315
1762668925.042060,-39520.684630,-44551.130384,-46536.300331,-69900.579751
1762668925.046060,-39516.486228,-44542.737305,-46538.971364,-69896.385074
1762668925.046597,-39456.214756,-44497.340918,-46522.948891,-69884.173572
1762668925.050597,-39439.812303,-44476.743788,-46512.268484,-69877.311587
1762668925.056714,-39486.732334,-44504.590333,-46521.041542,-69887.608290
1762668925.060714,-39534.796029,-44540.066272,-46537.064016,-69896.765053
1762668925.056714,-39543.189108,-44561.810791,-46543.929726,-69901.727140
1762668925.060714,-39476.815611,-44507.261366,-46522.948891,-69883.793592
1762668925.070961,-39448.965341,-44476.360083,-46508.070081,-69875.024259
1762668925.074961,-39480.246603,-44498.104602,-46511.121094,-69881.126285
1762668925.087105,-39543.572813,-44564.861804,-46537.064016,-69902.867079
1762668925.091105,-39531.365037,-44556.088746,-46538.587660,-69896.005094
1762668925.087105,-39460.793138,-44499.248266,-46511.504799,-69876.544178
1762668925.091105,-39458.122104,-44500.391930,-46508.453786,-69886.080921
1762668925.097270,-39496.269077,-44536.251575,-46518.750489,-69899.052382
1762668925.101270,-39533.652365,-44568.676502,-46530.194581,-69905.154407
1762668925.097270,-39512.671530,-44555.325061,-46524.472535,-69894.857705
1762668925.101270,-39451.256394,-44509.928674,-46505.399048,-69876.931608
1762668925.107402,-39442.099631,-44492.002577,-46504.255384,-69877.311587
1762668925.111402,-39481.773973,-44514.507055,-46513.028443,-69884.940982
1762668925.117509,-39521.444589,-44548.075646,-46530.194581,-69894.097745
1762668925.121509,-39515.342563,-44562.190771,-46533.249319,-69897.145033
1762668925.127652,-39446.294308,-44497.724622,-46511.504799,-69874.256849
1762668925.131652,-39439.048618,-44468.350708,-46500.824392,-69862.812757
1762668925.127652,-39483.681321,-44490.095228,-46511.884779,-69873.876870
1762668925.131652,-39542.425424,-44555.325061,-46544.309705,-69898.292422
1762668925.137755,-39526.022971,-44551.130384,-46543.166041,-69893.710315
1762668925.141755,-39458.122104,-44490.095228,-46519.134194,-69878.838956
1762668925.147844,-39439.428598,-44475.596398,-46504.639089,-69876.164198
1762668925.151844,-39478.722960,-44514.127076,-46518.750489,-69891.422987
1762668925.157991,-39538.230747,-44556.468725,-46538.587660,-69905.921817
1762668925.161991,-39528.694004,-44556.852430,-46541.638672,-69904.014468
1762668925.157991,-39470.329881,-44514.127076,-46518.750489,-69887.228310
1762668925.161991,-39447.821677,-44494.669884,-46511.121094,-69878.071547
1762668925.178249,-39476.051927,-44515.650719,-46518.370509,-69884.940982
1762668925.182249,-39524.499327,-44558.376074,-46535.156667,-69901.727140
1762668925.178249,-39533.652365,-44580.120593,-46543.546021,-69909.356534
1762668925.182249,-39464.987814,-44512.219727,-46517.606825,-69881.506264
1762668925.188368,-39437.141269,-44482.082129,-46502.348036,-69868.534803
1762668925.192368,-39474.144578,-44506.497681,-46510.361135,-69879.978895
1762668925.202569,-39526.022971,-44563.718140,-46534.772962,-69901.727140
1762668925.206569,-39519.157261,-44554.945081,-46530.578285,-69893.710315
1762668925.208294,-39456.594735,-44492.382556,-46508.453786,-69872.729480
1762668925.212294,-39440.955967,-44475.980103,-46500.440687,-69869.682193
1762668925.230172,-39472.237229,-44502.682984,-46511.884779,-69878.451526
1762668925.234172,-39522.971958,-44540.446252,-46527.907252,-69889.135659
1762668925.230172,-39513.055235,-44532.056898,-46526.379883,-69883.793592
1762668925.234172,-39461.173117,-44493.146241,-46515.319496,-69871.969521
1762668925.238173,-39444.386959,-44477.123767,-46509.213746,-69870.062172
1762668925.242172,-39481.773973,-44496.577233,-46516.843140,-69876.931608
1762668925.230172,-39524.499327,-44532.436877,-46529.434621,-69887.228310
1762668925.234172,-39523.351938,-44549.603015,-46534.392983,-69892.570376
1762668925.250611,-39459.649473,-44489.331543,-46509.977430,-69869.682193
1762668925.254611,-39432.942867,-44467.587024,-46498.917043,-69865.487516
1762668925.250611,-39464.224130,-44493.146241,-46499.677002,-69873.116910
1762668925.254611,-39526.022971,-44553.417712,-46524.856240,-69890.663028
1762668925.271327,-39516.869932,-44544.260949,-46526.379883,-69883.413613
1762668925.275327,-39436.377585,-44481.318444,-46499.677002,-69856.710732
1762668925.271327,-39426.460862,-44467.967004,-46496.625990,-69855.563343
1762668925.275327,-39467.658848,-44509.928674,-46511.121094,-69871.209562
1762668925.281471,-39522.591978,-44550.366700,-46523.328871,-69880.746305
1762668925.285471,-39514.198899,-44541.973621,-46522.185206,-69875.784218
1762668925.281471,-39451.636374,-44497.340918,-46505.399048,-69862.432778
1762668925.285471,-39438.664913,-44475.980103,-46500.060707,-69860.905409
1762668925.291611,-39473.760873,-44505.733997,-46515.319496,-69870.442152
1762668925.295611,-39524.879307,-44544.644654,-46531.721950,-69879.978895
1762668925.291611,-39525.642991,-44554.561377,-46530.578285,-69880.358875
1762668925.295611,-39452.400059,-44480.938464,-46504.639089,-69853.655994
1762668925.311855,-39430.275559,-44453.855604,-46492.047608,-69847.553968
1762668925.315855,-39467.278868,-44479.794800,-46501.584351,-69857.090712
1762668925.321939,-39519.157261,-44539.686292,-46525.999904,-69874.256849
1762668925.325939,-39518.013597,-44535.871595,-46529.050916,-69870.062172
1762668925.342162,-39453.163743,-44474.452734,-46509.597450,-69848.321378
1762668925.346162,-39426.460862,-44453.091919,-46499.677002,-69842.211902
1762668925.350163,-39469.566196,-44486.660510,-46508.453786,-69854.423404
